"","station","year","month","PM2.5","PM10","SO2","NO2","CO","O3","TEMP","PRES","DEWP","WSPM"
"1","Guanyuan",2013,3,103.579320113314,129.451841359773,45.757790368272,73.7946175637394,1501.97875354108,59.8895184135977,6.12223796033994,1012.43045325779,-5.64660056657224,1.99730878186969
"2","Guanyuan",2013,4,62.1394957983193,96.0168067226891,22.7406951260504,53.3395495798319,941.936134453782,62.6683680672269,12.167731092437,1009.01361344538,-1.49142857142857,2.18352941176471
"3","Guanyuan",2013,5,86.6290322580645,131.292338709677,29.9576612903226,56.7217741935484,963.042338709677,89.3624596774194,21.3383064516129,1004.81028225806,10.6237903225806,1.68689516129032
"4","Guanyuan",2013,6,109.094202898551,124.433333333333,14.4289855072464,50.0101449275362,1338.25362318841,71.8953385507246,23.3908695652174,1000.12666666667,18.0872463768116,1.24333333333333
"5","Guanyuan",2013,7,68.1754658385093,79.0574534161491,9.86335403726708,42.2872670807453,877.622670807453,78.6009316770186,26.7271739130435,995.914751552795,21.6746894409938,1.27204968944099
"6","Guanyuan",2013,8,62.0638888888889,82.1513888888889,7.24583333333333,45.2638888888889,727.777777777778,83.7652777777778,26.7106944444444,999.334444444444,20.5455555555556,1.29694444444444
"7","Guanyuan",2013,9,78.4780141843972,98.3078014184397,9.79432624113475,56.7829787234043,1106.65531914894,46.6397163120567,20.0510638297872,1009.39716312057,14.7568794326241,1.12496453900709
"8","Guanyuan",2013,10,100.889534883721,122.96511627907,14.7577519379845,69.7325581395349,1326.93798449612,25.8992189922481,13.2457364341085,1015.27596899225,6.41841085271318,1.20058139534884
"9","Guanyuan",2013,11,73.4450127877238,98.5166240409207,23.7519181585678,59.4680306905371,1264.19437340153,20.2357406649616,7.13375959079284,1016.8915601023,-6.69360613810742,1.84040920716113
"10","Guanyuan",2013,12,85.7083333333333,121.871527777778,47.7777777777778,79.6319444444444,1977.77777777778,14.9652777777778,-1.56041666666667,1022.11319444444,-14.2375,1.68090277777778
"11","Guanyuan",2014,1,102.041958041958,134.13006993007,55.958041958042,75.0237762237762,1963.35664335664,16.0475524475524,-0.188811188811189,1020.01468531469,-12.0707692307692,1.74965034965035
