"","station","year","month","PM2.5","PM10","SO2","NO2","CO","O3","TEMP","PRES","DEWP","WSPM"
"1","Wanliu",2013,3,112.871641791045,148.208208955224,44.5537313432836,88.5955223880597,1697.14328358209,39.5,6.16522388059701,1012.49358208955,-5.67761194029851,1.99626865671642
"2","Wanliu",2013,4,66.8038922155689,108.655688622754,25.9775449101796,73.4427498502994,912.202095808383,50.3844583832335,12.2332335329341,1008.32170658683,-1.56332335329341,2.1874251497006
"3","Wanliu",2013,5,95.0385395537525,125.515212981744,32.7829614604462,66.4077079107505,991.829614604462,68.6191695740365,21.3687626774848,1003.67221095335,9.94178498985801,1.69513184584179
"4","Wanliu",2013,6,120.807407407407,114.647407407407,20.0392047407407,67.500717037037,1642.89333333333,61.9051851851852,23.5543703703704,1000.12133333333,18.0157037037037,1.25422222222222
"5","Wanliu",2013,7,75.5211062590975,80.3391557496361,9.24728733624454,54.2526915574964,841.037845705968,67.6258311499272,27.0132459970888,995.956186317322,21.4796215429403,1.28078602620087
"6","Wanliu",2013,8,67.0607344632768,85.8531073446328,15.7959389830508,57.5846201977401,802.683615819209,68.6892655367232,26.7129943502825,999.28884180791,20.4603107344633,1.2954802259887
"7","Wanliu",2013,9,85.634670487106,101.230659025788,13.4555243553009,67.349576790831,1070.62607449857,41.6074498567335,20.1647564469914,1009.31389684814,14.8035816618911,1.14512893982808
"8","Wanliu",2013,10,118.240208877285,134.629242819843,27.6712062663185,78.8260874673629,1452.48041775457,19.9303932114883,12.802088772846,1016.48328981723,6.1065274151436,1.12114882506527
"9","Wanliu",2013,11,47.8325581395349,72.5953488372093,18.3255813953488,44.1786502325581,686.976744186047,27.6517255813954,9.75441860465116,1017.76093023256,-6.94511627906977,2.30837209302326
"10","Wanliu",2013,12,109.369458128079,117.724137931034,42.2118226600985,72.9310344827586,1906.4039408867,20.2234344827586,-0.330541871921182,1022.2,-14.7660098522167,1.95172413793103
"11","Wanliu",2014,1,102.138047138047,134.360269360269,67.4814814814815,94.8316498316498,2201.0101010101,14.7340067340067,0.432659932659933,1017.00673400673,-11.6676767676768,1.93973063973064
"12","Wanliu",2014,2,150.404399323181,156.390862944162,63.0524534686971,113.257191201354,2393.06260575296,15.1015228426396,0.0495769881556684,1022.33485617597,-9.20186125211506,1.70304568527919
