"","station","year","week","PM2.5","PM10","SO2","NO2","CO","O3","TEMP","PRES","DEWP","WSPM"
"1","Dingling",2013,"09",34.7,47.3,20.66,43.06,766,37.98,1.62,1019.338,-15.47,1.398
"2","Dingling",2013,"10",114.694444444444,140.027777777778,35.5625,57.1458333333333,1265.17361111111,82.25,8.5375,1005.05902777778,-7.9375,1.59652777777778
"3","Dingling",2013,"11",168.20625,163.10625,39.3375,70.85,1555.4,80.09375,6.215625,1010.829375,-3.659375,1.359375
"4","Dingling",2013,"12",52.2345679012346,59.2901234567901,8.51234567901234,25.5308641975309,588.888888888889,62.7037037037037,4.35802469135802,1006.61419753086,-6.92407407407407,2.03703703703704
"5","Dingling",2013,"13",96.0204081632653,109.469387755102,22.4761904761905,42.3605442176871,964.571428571429,56.7482993197279,6.75918367346939,1009.34761904762,-6.21632653061225,1.7734693877551
"6","Dingling",2013,"14",67.5102040816327,93.2789115646258,17.0544217687075,31.9795918367347,924.448979591837,63.9727891156463,8.94421768707483,1005.83401360544,-3.65374149659864,1.62380952380952
"7","Dingling",2013,"15",23.768115942029,56.4275362318841,6.22463768115942,15.036231884058,334.057971014493,76.2472072463768,10.7826086956522,1004.63260869565,-8.06231884057971,3.09855072463768
"8","Dingling",2013,"16",54.2781456953642,85.3708609271523,14.2317880794702,30.1655629139073,673.509933774834,73.0662251655629,11.2278145695364,1006.13443708609,-3.0205298013245,2.25165562913907
"9","Dingling",2013,"17",88.7643312101911,107.197452229299,20.7452229299363,33.3248407643312,771.942675159236,70.8216560509554,15.5707006369427,1002.56178343949,0.349044585987261,1.9171974522293
"10","Dingling",2013,"18",73.1592920353982,106.601769911504,19.3893805309735,23.070796460177,694.663716814159,119.362831858407,20.1371681415929,1005.88672566372,2.66637168141593,1.93274336283186
"11","Dingling",2013,"19",101.418604651163,129.147286821705,21.6279069767442,30.2325581395349,840.232558139535,102.06976744186,21.4860465116279,999.216279069767,5.68992248062016,1.57751937984496
"12","Dingling",2013,"20",78.463768115942,138.398550724638,19.7536231884058,31.8405797101449,873.144927536232,96.7463768115942,21.6079710144928,1000.24565217391,7.7304347826087,1.93623188405797
"13","Dingling",2013,"21",60.75,111.28125,19.1125,25.825,886.19375,100.50649125,23.425,998.38875,7.836875,1.825
"14","Dingling",2013,"22",72.4071428571429,99.4642857142857,14.1642857142857,27.0857142857143,814.964285714286,73.4857142857143,22.0107142857143,996.942857142857,11.0935714285714,1.39071428571429
"15","Dingling",2013,"23",98,85.5677419354839,7.33548387096774,27.6709677419355,1808.16774193548,46.6903225806452,20.5322580645161,1000.67483870968,16.9309677419355,1.08838709677419
"16","Dingling",2013,"24",98.3354037267081,100.503105590062,12.5776397515528,19.2608695652174,931.614906832298,113.478260869565,23.4739130434783,999.021118012422,14.611801242236,1.42857142857143
"17","Dingling",2013,"25",28.6363636363636,46.6666666666667,3.85454545454545,15.9090909090909,533.327272727273,84.5393939393939,26.6036363636364,995.518787878788,16.3042424242424,1.29818181818182
"18","Dingling",2013,"26",116.943396226415,111.157232704403,3.91194968553459,20.4528301886792,1315.59748427673,83.3836477987421,24.7238993710692,992.279245283019,20.1163522012579,1.26603773584906
"19","Dingling",2013,"27",33.592,46.616,5.872,12.336,608.792,98.336,28.9336,989.104,18.3208,1.48
"20","Dingling",2013,"28",72.669014084507,65.4647887323944,3.45070422535211,19.1760563380282,759.859154929577,71.1830985915493,26.1795774647887,996.549295774648,21.7359154929577,1.21197183098592
"21","Dingling",2013,"29",67.0206896551724,64.7310344827586,3.71034482758621,14.8758620689655,980.689655172414,72.8689655172414,26.3,994.393103448276,20.1441379310345,1.26137931034483
"22","Dingling",2013,"30",49.4161073825503,53.7785234899329,4.79194630872483,13.9328859060403,831.543624161074,77.8187919463087,28.006711409396,992.510738255034,19.4724832214765,1.26510067114094
"23","Dingling",2013,"31",41.3092105263158,50.3881578947368,4.55921052631579,14.2960526315789,580.921052631579,110.796052631579,27.1861842105263,992.515789473684,20.2381578947368,1.50723684210526
"24","Dingling",2013,"32",63.879746835443,66.5822784810127,6.0253164556962,14.7215189873418,676.582278481013,104.873417721519,28.370253164557,993.076582278481,21.1164556962025,1.39050632911392
"25","Dingling",2013,"33",73.941935483871,74.741935483871,3.92903225806452,13.6451612903226,771.612903225806,85.741935483871,29.1445161290323,994.410967741935,22.2103225806452,1.52
"26","Dingling",2013,"34",43.4146341463415,41.9939024390244,3.71951219512195,11.4573170731707,690.243902439024,78.8353658536585,26.7853658536585,999.931097560976,17.1743902439024,1.13475609756098
"27","Dingling",2013,"35",39.2814814814815,42.162962962963,6.78518518518518,13.1333333333333,858.518518518518,62.6518518518519,23.9177777777778,998.34,16.5481481481481,1.63185185185185
"28","Dingling",2013,"36",49.3670886075949,46.4367088607595,5.41772151898734,13.7848101265823,862.025316455696,77.6898734177215,22.1069620253165,1007.1582278481,16.323417721519,1.29050632911392
"29","Dingling",2013,"37",57.746835443038,58.8291139240506,5.40506329113924,21.4620253164557,776.582278481013,52.5506329113924,21.5670886075949,1002.59556962025,14.4379746835443,1.10949367088608
"30","Dingling",2013,"38",58.5636363636364,54.6242424242424,4.47878787878788,26.2606060606061,1029.67272727273,42.3757575757576,21.4,1006.14666666667,16.1115151515152,0.9
